,Location,Borough,Postcode,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
40,Crofton Park,Lewisham,SE4,51.462680000000034,-0.035579999999924894,1,Coffee Shop,Pub,Park,Bar,Café,Italian Restaurant,Pizza Place,Cocktail Bar,Brewery,Beer Store
41,Crossness,Bexley,SE2,51.492450000000076,0.12127000000003818,0,Grocery Store,Supermarket,Pub,Fast Food Restaurant,Bakery,Historic Site,Train Station,Clothing Store,Gastropub,Gym / Fitness Center
42,Crystal Palace,Bromley,SE19,51.41990000000004,-0.08807999999993399,1,Pub,Park,Italian Restaurant,Coffee Shop,Café,Gastropub,Gym / Fitness Center,Indian Restaurant,Bakery,Supermarket
43,Custom House,Newham,E16,51.50913000000003,0.015280000000075233,0,Hotel,Coffee Shop,Park,Pub,Italian Restaurant,Gym / Fitness Center,Bar,Turkish Restaurant,Scenic Lookout,English Restaurant
44,Deptford,Lewisham,SE8,51.48114000000004,-0.02466999999995778,1,Pub,Park,Coffee Shop,Garden,Café,Art Gallery,Turkish Restaurant,Historic Site,History Museum,Pizza Place
45,Dollis Hill,Brent,NW2,51.562370000000044,-0.22130999999995993,0,Park,Café,Italian Restaurant,Grocery Store,Pub,Korean Restaurant,Sushi Restaurant,Bakery,Pizza Place,Supermarket
46,Ealing,Ealing,W5,51.51406000000003,-0.30072999999993044,1,Pub,Coffee Shop,Park,Hotel,Italian Restaurant,Gym / Fitness Center,Café,Pizza Place,Burger Joint,Grocery Store
47,Earlsfield,Wandsworth,SW18,51.45066000000003,-0.18996999999995978,1,Coffee Shop,Park,Pub,Pizza Place,Café,Supermarket,Grocery Store,Tennis Stadium,Gym,Breakfast Spot
48,East Finchley,Barnet,N2,51.589270000000056,-0.16394999999994297,1,Pub,Park,Coffee Shop,Café,Grocery Store,Italian Restaurant,Bakery,Middle Eastern Restaurant,Turkish Restaurant,Gym / Fitness Center
49,East Ham,Newham,E6,51.53292000000005,0.05461000000002514,0,Indian Restaurant,Hotel,Coffee Shop,Supermarket,Pub,Park,Gym / Fitness Center,Light Rail Station,Ice Cream Shop,Clothing Store
50,East Sheen,Richmond upon Thames,SW14,51.46482000000003,-0.26590999999996257,1,Pub,Coffee Shop,Park,Garden,Restaurant,Botanical Garden,Café,Tea Room,French Restaurant,Italian Restaurant
51,Edmonton,Enfield,N9,51.62879000000004,-0.05619999999993297,0,Supermarket,Coffee Shop,Turkish Restaurant,Furniture / Home Store,Pub,Gym / Fitness Center,Train Station,Pizza Place,Grocery Store,Fast Food Restaurant
